ULB,Latitude,Longitude,Guests
AASIND,25.73,74.33,139184
ABU ROAD,24.48,72.78,167194
AJITGARH,30.71944444,76.71805556,80167
ALWAR,27.56666667,76.61666667,744326
ANOOPGARH,29.18944444,73.20833333,320667
BAGRU,26.82,75.55,150198
BAHADURGARH (KISHANGARHBAS),28.69083333,76.93138889,43244
BALI,25.18,73.28,181165
BALOTRA,25.83,72.23,1171438
BAMANWAS,26.5577,76.5611,190325
BANDIKUI,27.05,76.57,388306
BANSOOR,30.55,76.71666667,97775
BANSWARA,23.54083333,74.4425,656549
BARDOD,23.79111111,75.81583333,116943
BARI,26.63,77.62,277675
BARI SADRI,24.42,74.47,142725
BARMER,25.74444444,71.39722222,1071209
BARODAMEO,27.4845,76.8681,61594
BASNI,27.17,73.65,123652
BASSI,26.8475987,75.9832899,110022
BAYANA,26.9,77.28,350019
BEHROR,27.88,76.28,317062
BHADRRA,29.12,75.17,304587
BHAWANIMANDI,24.42,75.82972222,534972
BHIWADI,28.21,76.87,775743
BHUSAWAR,27.03818056,77.04878611,85258
BIDASAR,27.83,74.3,260561
BIKANER,28.01805556,73.31694444,2168138
BORAWAR,27.03777778,74.72611111,53248
BUNDI,25.43833333,75.63722222,622643
CHAKSU,26.6,75.95,283452
CHHAPAR,27.82,74.4,73413
CHITTORGARH,24.88944444,74.62388889,367557
CHOMU,27.16944444,75.72083333,358892
CHOTI SADRI,24.38,74.7,146553
CHURU,28.3,74.95,610094
DANTARAMGARH,27.2561,75.1656,91323
DEEG,27.47638889,77.32777778,165838
DEGANA,26.895052,74.322166,75897
DEOLI,25.75,75.3833,168284
DESHNOK,27.791,73.341,146668
DHARIYAWAD,24.1,74.45,191132
DHAULPUR,26.7,77.9,947185
DUNGARPUR,23.84305556,73.71444444,593209
GAJSINGHPUR,29.67,73.45,138512
GANGAPUR,25.22,74.27,63341
GANGAPUR CITY,25.22,74.27,608089
GOVINDGARH,26.45,74.38,103789
GUDHA GORJI,27.8889,75.4843,139950
GULABPURA,25.90630556,74.658,82795
HAMIRGARH,25.1904,74.6197,35488
HANUMANGARH,29.58333333,74.31666667,1263721
HINDAUNCITY,26.72,77.02,577465
INDRAGARH,29.91299444,74.32284167,78166
JAHAZPUR,25.62,75.28,134378
JAIPUR GREATER,26.91666667,75.86666667,3808405
JAIPUR HERITAGE,26.91666667,75.86666667,6353822
JAITARAN,26.2,73.94,198612
JAWAL,24.9888,72.7514,107380
JAYAL,27.2167,74.1833,87415
JHUNJHUNU,28.12555556,75.39777778,1508382
JOBNER,26.97,75.38,59386
K.PATAN,25.3,75.93333333,86067
KAMAN,27.65,77.27,178050
KAPREN,25.4038,76.0745,80064
KARAULI,26.5,77.01666667,1024299
KESARSINGHPUR,29.94753611,73.62118611,247850
KHAJUWALA,28.705,72.594,193434
KHANDELA,27.60499,75.502,127232
KHATUSHYAM JI,27.37138889,75.48222222,169229
KHETRI,27.98,75.8,358374
KHUDALA FALNA,25.23,73.25,184469
KISHANGARH RENWAL,27.1952,75.3355,66920
KISHANGARHBAS,27.82,76.72,218400
KOTA NORTH,25.18,75.83,2553581
KOTA SOUTH,25.18,75.83,1999807
KOTKASIM,28.03,76.72,48632
KOTPUTLI,27.7167,76.2,571104
KUCHAMAN CITY,27.15172778,74.86324444,354863
KUCHERA,26.98,73.97,164464
KUMHER,27.31388889,77.37777778,118737
KUSHAL GARH,23.17,74.45,155340
LADNU,27.65,74.3833,375424
LALGARH-JATAAN,29.85,74.04,242576
LAXMANGARH (ALWAR),27.8225,75.025278,273014
LAXMANGARH (SIKAR),27.8225,75.025278,147188
MAHWA,27.05,76.93333333,177563
MAKRANA,27.03777778,74.72611111,552365
MANDAWA,28.055,75.14694444,125442
MANDAWAR,27.02,75,68041
MANDAWARI,27.02,75,161444
MANOHARPUR,22.68,88.3,65842
MARWAR JUNCTION,25.733,73.6,88824
MERTA CITY,26.65,74.0333,212594
MUKUNDGARH,27.95,75.2167,222150
MUNDAWA,27.07,73.82,133991
NADBAI,27.23,77.2,214148
NAGAUR,27.2,73.73333333,844855
NAINWA,25.77,75.85,74859
NARAYANA,26.6326,77.1853,18089
NEEM KA THANA,27.738,75.783,205246
NIMBAHERA,24.62,74.68,156576
NIWAI,26.3824,75.924,118957
NOHAR,29.18,74.77,113142
NOKHA,27.6,73.42,213736
PADAMPUR,29.70885,73.62539,261115
PARBATSAR,26.53,74.46,90418
PARTAPUR GADHI,23.6,74.17,153504
PAWTA,27.11101,76.1156,143566
PHULERA,26.87,75.23,172991
PIDAWA,24.17,76.03,144728
PILANI,28.37,75.6,291734
PILIBANGA,29.45,74.08,240706
POKARAN,26.91944444,71.92083333,203560
PRATAPGARH,24.03166667,74.77972222,628260
RAISINGHNAGAR,29.53419167,73.44768056,207472
RAJAKHERRA,26.54,78.1,504616
RAJGARH CHURU,28.64,75.38,344646
RAMGANJMANDI,24.65,75.93333333,125075
RAMGARH,27.5848,76.8139,32403
RANIWARA,24.75,72.2167,100713
RATANGARH,28.08,74.6,748272
RATANNAGAR,28.2298,74.9414,130564
RAWATBHATA,24.93194444,75.58888889,224970
RAWATSAR,29.28,74.38,443748
RINGUS,27.37,75.57,185860
ROOPAWAS,26.0109,73.5848,160219
SADUL SAHAR,29.9434,74.1875,377547
SAGWARA,23.68,74.02,114029
SAMBHAR,26.91027778,75.18583333,162606
SANCHORE,24.6,72,239502
SANGARIYA,29.78333333,74.46666667,308772
SANGOD,24.92,76.28,107314
SAPOTRA,26.2995,76.7339,247804
SARDARSHAHAR,28.44005278,74.49081944,416988
SAWAI MADHOPUR,26.02111111,76.35361111,648930
SHAHPURA JAIPUR,27.38967778,75.95964444,298559
SHIVGANJ,26.59,87.84,228004
SHRI DUNGARGARH,28.08,74.02,348487
SHRI GANGANAGAR,29.91666667,73.88333333,1028989
SHRI KARANPUR,29.5,73.27,232422
SHRI VIJAYNAGAR,29.24252778,73.52218333,246070
SHRIMADHOPUR,27.46666667,75.6,195657
SIKAR,27.61194444,75.13972222,869407
SIKRI,27.09111111,77.66111111,91971
SIRMATHURA,26.5123,77.3713,202596
SIROHI,24.88333333,72.86666667,779658
SIWANA,25.64888889,72.42166667,51298
SULTANPUR,25.2892,76.147,73964
SURATGARH,29.3177,73.8989,366172
TAKHATGARH,25.33,73,101498
TARANAGAR,28.68,75.03,16592641
THANAGAJI,27.3985,76.3121,127507
TIBBI,31,70.68333333,136819
TIJARA,27.93,76.85,112898
TODABHIM,26.9167,76.8167,90543
TODARAI SINGH,26.0167,75.4833,42190
TONK,26.16666667,75.78333333,1000840
UDAIPUR,24.58333333,73.68333333,4406308
UDAIPURWATI,27.72885,75.47156111,438590
UJJCHAIN,26.9907,77.5938,137391
UNIARA,25.92,76.02,161044
VIDHYA VIHAR,28.37,75.6,405916
VIRATNAGAR,27.45,76.18,119505
WEIR,27.01861111,77.17638889,34571
